nLine	ts	ECAPB	GPAPB	IIDBT	IIHDM	IIGLLlatlon	IIGLLlatNum	IIGLLlonNum	IIMTA	IIMTW	IIMWDtwd	ECRMB	GPRMB	IIRMB	RMCep	RMCts	RMClatlon	RMClatNum	RMClonNum	RMCsog	RMCtmg	IIVHWsow	IIVLW	IIVLWtotal	IIVTGsog	IIVTGtmg	IIVWRrl	IIVWRawa	IIVWRaws	IIVWTrl	IIVWTtwa	IIVWTtws	IIXTE	IIZDAep	IIZDAts2102	20180601072618.0	[]	[]	4.8	326.0	[]	47.50315	-1.613617	18.8	19.7	224.0	[]	[]	[]	1527837978.0	20180601072618.0	4730.18762,N,223.18327,W	47.503127	-1.613612	0.018	[]	0.0	36.73	135.0	[]	0.0	L	-102.0	2.2	L	-102.0	2.2	[]	1527837962.0	20180601072602.0	
2955	20180601072700.0	[]	[]	4.6	328.0	[]	47.50315	-1.613617	19.1	19.8	213.0	[]	[]	[]	1527838020.0	20180601072700.0	4730.18712,N,223.1821,W	47.503119	-1.613632	0.049	64.0	0.0	36.73	135.0	[]	0.0	L	-114.0	3.8	L	-114.0	3.8	[]	1527838022.0	20180601072702.0	
3009	20180601072704.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.1	19.8	216.0	[]	[]	[]	1527838024.0	20180601072704.0	4730.18753,N,223.1825,W	47.503126	-1.613625	0.159	47.0	0.0	36.73	135.0	[]	0.0	L	-110.0	3.9	L	-112.0	3.8	[]	1527838026.0	20180601072706.0	
3065	20180601072708.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.1	19.8	222.0	[]	[]	[]	1527838028.0	20180601072708.0	4730.18778,N,223.18272,W	47.50313	-1.613621	0.054	59.0	0.0	36.73	135.0	[]	0.0	L	-106.0	3.9	L	-106.0	3.9	[]	1527838030.0	20180601072710.0	
3122	20180601072712.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.1	19.8	223.0	[]	[]	[]	1527838032.0	20180601072712.0	4730.18785,N,223.18298,W	47.503131	-1.613617	0.04	67.0	0.0	36.73	135.0	[]	0.0	L	-105.0	3.9	L	-105.0	3.9	[]	1527838034.0	20180601072714.0	
3181	20180601072716.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.1	19.8	223.0	[]	[]	[]	1527838036.0	20180601072716.0	4730.18788,N,223.18288,W	47.503131	-1.613619	0.031	73.0	0.0	36.73	135.0	[]	0.0	L	-105.0	3.8	L	-105.0	3.8	[]	1527838038.0	20180601072718.0	
3237	20180601072720.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.1	19.8	223.0	[]	[]	[]	1527838040.0	20180601072720.0	4730.18788,N,223.18286,W	47.503131	-1.613619	0.035	75.0	0.0	36.73	135.0	[]	0.0	L	-105.0	3.9	L	-105.0	3.9	[]	1527838042.0	20180601072722.0	
3294	20180601072724.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	223.0	[]	[]	[]	1527838044.0	20180601072724.0	4730.18787,N,223.18291,W	47.503131	-1.613618	0.023	74.0	0.0	36.73	135.0	[]	0.0	L	-105.0	3.9	L	-105.0	3.9	[]	1527838046.0	20180601072726.0	
3352	20180601072728.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	223.0	[]	[]	[]	1527838048.0	20180601072728.0	4730.18791,N,223.18287,W	47.503132	-1.613619	0.016	[]	0.0	36.73	135.0	[]	0.0	L	-105.0	3.9	L	-105.0	3.9	[]	1527838050.0	20180601072730.0	
3409	20180601072732.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	223.0	[]	[]	[]	1527838052.0	20180601072732.0	4730.18794,N,223.18287,W	47.503132	-1.613619	0.214	68.0	0.0	36.73	135.0	[]	0.0	L	-106.0	3.9	L	-105.0	3.9	[]	1527838054.0	20180601072734.0	
3465	20180601072736.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.2	19.8	221.0	[]	[]	[]	1527838056.0	20180601072736.0	4730.18799,N,223.18279,W	47.503133	-1.61362	0.037	61.0	0.0	36.73	135.0	[]	0.0	L	-107.0	3.9	L	-106.0	3.9	[]	1527838056.0	20180601072736.0	
3508	20180601072739.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.2	19.8	220.0	[]	[]	[]	1527838059.0	20180601072739.0	4730.18787,N,223.1827,W	47.503131	-1.613622	0.052	72.0	0.0	36.73	135.0	[]	0.0	L	-107.0	4.0	L	-107.0	4.0	[]	1527838060.0	20180601072740.0	
3564	20180601072743.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.2	19.8	218.0	[]	[]	[]	1527838063.0	20180601072743.0	4730.18732,N,223.18288,W	47.503122	-1.613619	0.071	86.0	0.0	36.73	135.0	[]	0.0	L	-109.0	4.0	L	-108.0	4.0	[]	1527838066.0	20180601072746.0	
3624	20180601072747.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.2	19.8	217.0	[]	[]	[]	1527838067.0	20180601072747.0	4730.18728,N,223.18304,W	47.503121	-1.613616	0.028	100.0	0.0	36.73	135.0	[]	0.0	L	-109.0	4.1	L	-110.0	4.1	[]	1527838068.0	20180601072748.0	
3681	20180601072751.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.2	19.8	218.0	[]	[]	[]	1527838071.0	20180601072751.0	4730.18737,N,223.18323,W	47.503123	-1.613613	0.036	114.0	0.0	36.73	135.0	[]	0.0	L	-109.0	4.1	L	-109.0	4.1	[]	1527838072.0	20180601072752.0	
3737	20180601072755.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.2	19.8	218.0	[]	[]	[]	1527838075.0	20180601072755.0	4730.18714,N,223.1834,W	47.503119	-1.61361	0.047	126.0	0.0	36.73	135.0	[]	0.0	L	-109.0	4.1	L	-109.0	4.1	[]	1527838078.0	20180601072758.0	
3794	20180601072759.0	[]	[]	4.8	326.0	[]	47.503133	-1.613617	19.2	19.8	217.0	[]	[]	[]	1527838079.0	20180601072759.0	4730.18706,N,223.18345,W	47.503118	-1.613609	0.023	139.0	0.0	36.73	135.0	[]	0.0	L	-109.0	4.0	L	-109.0	4.1	[]	1527838080.0	20180601072800.0	
3852	20180601072803.0	[]	[]	4.8	326.0	[]	47.503133	-1.613617	19.2	19.8	217.0	[]	[]	[]	1527838083.0	20180601072803.0	4730.18665,N,223.18357,W	47.503111	-1.613607	0.036	148.0	0.0	36.73	135.0	[]	0.0	L	-108.0	4.0	L	-109.0	4.0	[]	1527838084.0	20180601072804.0	
3908	20180601072807.0	[]	[]	4.8	327.0	[]	47.503133	-1.613617	19.2	19.8	220.0	[]	[]	[]	1527838087.0	20180601072807.0	4730.18703,N,223.18305,W	47.503117	-1.613616	0.01	[]	0.0	36.73	135.0	[]	0.0	L	-109.0	3.9	L	-108.0	3.9	[]	1527838090.0	20180601072810.0	
3965	20180601072811.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	217.0	[]	[]	[]	1527838091.0	20180601072811.0	4730.18741,N,223.18281,W	47.503124	-1.61362	0.003	[]	0.0	36.73	135.0	[]	0.0	L	-111.0	3.9	L	-110.0	3.9	[]	1527838092.0	20180601072812.0	
4021	20180601072815.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	219.0	[]	[]	[]	1527838095.0	20180601072815.0	4730.18756,N,223.18304,W	47.503126	-1.613616	0.024	154.0	0.0	36.73	135.0	[]	0.0	L	-108.0	3.9	L	-109.0	3.9	[]	1527838096.0	20180601072816.0	
4080	20180601072819.0	[]	[]	4.8	329.0	[]	47.503133	-1.613617	19.2	19.8	219.0	[]	[]	[]	1527838099.0	20180601072819.0	4730.18829,N,223.18254,W	47.503138	-1.613624	0.157	139.0	0.0	36.73	135.0	[]	0.0	L	-110.0	3.8	L	-110.0	3.8	[]	1527838102.0	20180601072822.0	
4137	20180601072823.0	[]	[]	4.8	329.0	[]	47.503133	-1.613617	19.2	19.8	217.0	[]	[]	[]	1527838103.0	20180601072823.0	4730.18824,N,223.18258,W	47.503137	-1.613624	0.049	145.0	0.0	36.73	135.0	[]	0.0	L	-112.0	3.8	L	-112.0	3.8	[]	1527838104.0	20180601072824.0	
4193	20180601072827.0	[]	[]	4.8	329.0	[]	47.503133	-1.613617	19.2	19.8	214.0	[]	[]	[]	1527838107.0	20180601072827.0	4730.18812,N,223.18265,W	47.503135	-1.613622	0.045	150.0	0.0	36.73	135.0	[]	0.0	L	-115.0	3.7	L	-114.0	3.7	[]	1527838110.0	20180601072830.0	
4250	20180601072831.0	[]	[]	4.8	329.0	[]	47.503133	-1.613617	19.2	19.8	213.0	[]	[]	[]	1527838111.0	20180601072831.0	4730.18803,N,223.18279,W	47.503134	-1.61362	0.043	155.0	0.0	36.73	135.0	[]	0.0	L	-116.0	3.6	L	-116.0	3.6	[]	1527838114.0	20180601072834.0	
4307	20180601072835.0	[]	[]	4.8	329.0	[]	47.503133	-1.613617	19.2	19.8	214.0	[]	[]	[]	1527838115.0	20180601072835.0	4730.18791,N,223.18287,W	47.503132	-1.613619	0.045	159.0	0.0	36.73	135.0	[]	0.0	L	-115.0	3.6	L	-115.0	3.6	[]	1527838116.0	20180601072836.0	
4364	20180601072839.0	[]	[]	4.8	329.0	[]	47.503133	-1.613617	19.2	19.8	[]	[]	[]	[]	1527838119.0	20180601072839.0	4730.18775,N,223.18298,W	47.503129	-1.613617	0.04	163.0	0.0	36.73	135.0	[]	0.0	L	-117.0	3.5	L	-117.0	3.5	[]	1527838122.0	20180601072842.0	
4417	20180601072843.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	207.0	[]	[]	[]	1527838123.0	20180601072843.0	4730.18755,N,223.18315,W	47.503126	-1.613614	0.039	167.0	0.0	36.73	135.0	[]	0.0	L	-121.0	3.4	L	-121.0	3.4	[]	1527838124.0	20180601072844.0	
4476	20180601072847.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	204.0	[]	[]	[]	1527838127.0	20180601072847.0	4730.18736,N,223.18328,W	47.503123	-1.613612	0.026	172.0	0.0	36.73	135.0	[]	0.0	L	-123.0	3.4	L	-124.0	3.4	[]	1527838128.0	20180601072848.0	
4535	20180601072851.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	204.0	[]	[]	[]	1527838131.0	20180601072851.0	4730.18726,N,223.18334,W	47.503121	-1.613611	0.027	176.0	0.0	36.73	135.0	[]	0.0	L	-124.0	3.4	L	-124.0	3.4	[]	1527838134.0	20180601072854.0	
4592	20180601072855.0	[]	[]	4.8	328.0	[]	47.503133	-1.613617	19.2	19.8	204.0	[]	[]	[]	1527838135.0	20180601072855.0	4730.1872,N,223.18343,W	47.50312	-1.613609	0.023	182.0	0.0	36.73	135.0	[]	0.0	L	-123.0	3.3	L	-124.0	3.3	[]	1527838136.0	20180601072856.0	
4648	20180601072859.0	[]	[]	4.6	328.0	[]	47.503133	-1.613617	19.2	19.9	206.0	[]	[]	[]	1527838139.0	20180601072859.0	4730.1872,N,223.18349,W	47.50312	-1.613609	0.019	[]	0.0	36.73	135.0	[]	0.0	L	-123.0	3.2	L	-122.0	3.3	[]	1527838142.0	20180601072902.0	
4704	20180601072903.0	[]	[]	4.8	329.0	[]	47.50315	-1.613617	19.3	19.8	203.0	[]	[]	[]	1527838143.0	20180601072903.0	4730.1872,N,223.18357,W	47.50312	-1.613607	0.027	198.0	0.0	36.73	135.0	[]	0.0	L	-130.0	3.2	L	-127.0	3.2	[]	1527838146.0	20180601072906.0	
